,attributevalue,count,normalized_attributevalue,synonyms
64,Bodycon,3546,bodycon style,"[('Skin-tight', 0.507), ('Contour-hugging', 0.414), ('Figure-hugging', 0.382)]"
65,Slides,3458,slides style,"[('Flatforms', 0.555)]"
66,Cardigans,3228,cardigans style,"[(‘Knitwear style', 0.514)]"
67,Bermudas,3184,bermudas style,"[('Bermudian look', 0.708), ('Bermudian design', 0.694), ('Bermudian trend', 0.69), ('Bermudian fashion', 0.64)]"
68,Gown,3139,gown style,[]
69,Hoodies & Tracks,3099,hoodies tracks style,"[('Sweatshirt Joggers', 0.456), ('Sweatsuit Trousers', 0.439)]"
70,"Lightly Padded, Lightly padded",3094,lightly padded style,"[('Lightly stuffed fashion', 0.866), ('Softly cushioned look', 0.825), ('Gently cushioned design', 0.782), ('Feathery padding style', 0.635)]"
71,Cocktail,3043,cocktail style,"[('Partywear', 0.505), ('Eveningwear', 0.426), ('Dressy Attire', 0.381), ('Formalwear', 0.313)]"
72,"Tunic, Tunics",3014,tunics style,"[('Tunic-inspired', 0.675), ('Tunic-style', 0.675), ('Tunic-cut', 0.645), ('Tunic-shaped', 0.631)]"
73,"T-Shirt & Pyjama, Tshirt & Pyjama",2959,t shirt pyjama style,"[('Nightshirt', 0.547), ('Sleepwear', 0.484), ('Loungewear', 0.368)]"
74,Shift,2939,shift style,"[('Modify Style', 0.829), ('Alter Fashion', 0.804), ('Change Look', 0.803), ('Revamp Outfit', 0.666)]"
75,"Henleys, Henley",2913,henley style,[]
76,Rompers,2909,rompers style,"[('Unitards', 0.762), ('Onesies', 0.67), ('Playsuits', 0.437), ('Jumpsuits', 0.345)]"
77,Tanks & Camis,2825,tanks camis style,"[('Tank Tops', 0.619), (‘Muscle Tees', 0.37)]"
78,"Shirts, Shirt",2804,shirt style,"[('Cut', 0.651), ('Pattern', 0.586), ('Silhouette', 0.567), ('Design', 0.554)]"
79,Wedges,2790,wedges style,"[('Platforms', 0.482), ('Stacked Heels', 0.411)]"
80,Camisoles & Tanks,2728,camisoles tanks style,"[('Tank Tops', 0.628)]"
81,Ties,2709,ties style,"[('Bowtie', 0.674), ('Necktie', 0.635), ('Cravat', 0.583), ('Neckwear', 0.565)]"
82,Thong,2696,thong style,"[('T-back', 0.598), ('G-string', 0.532), ('String bikini', 0.471)]"
83,"Ankle Length, Ankle-length",2645,ankle length style,[]
84,Relaxed,2618,relaxed style,"[('Laid-Back Look', 0.765), ('Casual Wear', 0.715), ('Comfortable Clothing', 0.614), ('Loose-Fitting Outfit', 0.603)]"
85,Thong strap,2536,thong strap style,"[('String Strap Design', 0.683), ('G-String Style', 0.616), ('String Bikini', 0.595)]"
86,Cuffed,2527,cuffed style,"[('Bound look', 0.735), ('Wrapped look', 0.639), ('Secured look', 0.593), ('Restrained look', 0.523)]"
87,Plates & Bowls,2525,plates bowls style,"[('Crockery Look', 0.689), ('Serving Wear', 0.547), ('Dishes Apparel', 0.522), ('Tableware Fashion', 0.488)]"
88,"Classic Bangle, Classic Bangles",2525,classic bangles style,"[('Traditional Armlets ', 0.594), ('Iconic Cuffs ', 0.591), ('Vintage Wristbands ', 0.525)]"
89,Hair Bands,2497,hair bands style,"[('Hair accessories ', 0.603), ('Hair ties ', 0.574), ('Hair elastics ', 0.545)]"
90,Chinos,2495,chinos style,[]
91,Everyday Socks,2488,everyday socks style,"[('Common Socks', 0.723), ('Standard Stockings', 0.554), ('Casual Hosiery', 0.465)]"
92,Window Curtains,2439,window curtains style,"[('Window adornment fashion', 0.748), ('Window treatment fashion', 0.748), ('Window covering fashion', 0.735), ('Window drapery fashion', 0.734)]"
93,Tiered,2435,tiered style,"[('Layered look', 0.718), ('Multi-leveled design', 0.69), ('Stacked look', 0.685), ('Step-down silhouette', 0.583)]"
94,Carpets & Rugs,2364,carpets rugs style,"[('Floor Coverings ', 0.593), ('Textiles ', 0.587), ('Mats ', 0.544), ('Fabrics ', 0.516)]"
95,"Mangalsutras, Mangalsutra",2326,mangalsutras style,[]
96,Sweaters,2310,sweaters style,"[('Knitwear', 0.641), ('Pullovers', 0.595), ('Jumpers', 0.472)]"
97,Back Open,2303,back open style,"[('Cut-out look', 0.748), ('Open-back design', 0.69), ('Revealing silhouette', 0.633), ('Low-cut design', 0.556)]"
98,V-neck,2261,v neck style,"[('U-neck', 0.818), ('Scoop neck', 0.68), ('Plunge neck', 0.662), ('Boat neck', 0.493)]"
99,"Toe-Ring, Toe Ring",2239,toe ring style,[]
100,Bath Towels,2221,bath towels style,"[('Towel Fashions', 0.808), ('Bath Towel Apparel', 0.774), ('Towel Wear', 0.749), ('Towel Clothing', 0.712)]"
101,"Stoles, Stole",2216,stoles style,[]
102,"Blouse, Blouses",2216,blouse style,"[('Shirtwaist', 0.648), ('Blouson', 0.563)]"
103,Knit Shorts,2185,knit shorts style,"[('Knit Shorts', 0.817), ('Knit Capris', 0.654), ('Knit Bermudas', 0.61)]"
104,"Bikini, Bikinis",2176,bikini style,"[('Swimsuit style', 0.631), ('Tankini style', 0.552), ('Beachwear style', 0.544), ('Two-piece style', 0.482)]"
105,Pants & Top Sets,2166,pants top sets style,[]
106,Table Covers,2138,table covers style,"[('Table draping', 0.578), ('Tablecloth fashion', 0.574), ('Table toppers', 0.526), ('Table linens', 0.486)]"
107,Sheath,2101,sheath style,"[('Cover Style', 0.666), ('Cloak Style', 0.606), ('Envelope Style', 0.601), ('Wrap Style', 0.576)]"
108,"Long Necklace, Long Necklaces",2080,long necklaces style,[]
109,"MASKS, Masks",2009,masks style,"[('Facial Coverings', 0.624)]"
110,Aviator,1973,aviator style,"[('Aviator Chic', 0.685), ('Pilot Look', 0.673), ('Airline Uniform Look', 0.604), ('Flight Attendant Look', 0.536)]"
111,Suit Sets,1972,suit sets style,"[('Costume', 0.545), ('Garb', 0.54), ('Outfit', 0.533), ('Apparel', 0.476)]"
112,Shorts & T-shirt Sets,1970,shorts t shirt sets style,"[('Shorts and Tee Combos', 0.796), (‘Shorts and Top Outfits', 0.716)]"
113,Classic Clutch,1961,classic clutch style,"[('Iconic Clutch Look', 0.728), ('Traditional Clutch Style', 0.709), ('Vintage Clutch Look', 0.643), ('Timeless Clutch Design', 0.577)]"
114,Clocks,1916,clocks style,"[('Timepieces', 0.676), ('Chronographs', 0.611), ('Chronometers', 0.565), ('Watches', 0.473)]"
115,"Nosepins, Nosepin",1860,nosepin style,"[('Nasal Adornment', 0.69), ('Nostril Jewelry', 0.578), ('Facial Piercing', 0.567)]"
116,Briefs,1854,briefs style,"[('Underpants', 0.675), ('Boxers', 0.641), ('Panties', 0.546), ('Knickers', 0.489)]"
117,T-strap,1815,t strap style,"[(‘Thong Style', 0.7)]"
118,Square,1806,square style,"[('Boxy', 0.617)]"
119,"Bracelets, Bracelet",1795,bracelets style,[]
120,Band,1793,band style,[]
121,Chandbali,1788,chandbali style,[]
122,Woven Top & Pyjama,1763,woven top pyjama style,"[('Braided Bedclothes', 0.568), ('Crocheted Loungewear', 0.557), ('Interwoven Sleepwear', 0.537), ('Knitted Nightwear', 0.507)]"
123,Stilettos,1747,stilettos style,"[('Pumps', 0.459), ('High heels', 0.423), ('Spike heels', 0.401)]"
124,"T-Shirt & Shorts, T-shirt & Shorts, Tshirt & Shorts",1743,t shirt shorts style,[]
125,Full-rim,1742,full rim style,"[('Total Rim Style', 0.761), ('Complete Frame Style', 0.591), ('All-Around Frame Style', 0.574), ('Full-Coverage Frame Style', 0.553)]"
126,"Nehru jacket, Nehru Jackets",1717,nehru jacket style,"[('Nehru Suit', 0.782), ('Mandarin Collar', 0.577), ('Bandhgala', 0.577), ('Chinese Collar', 0.442)]"
127,"Bombers, Bomber",1663,bomber style,"[('Flight jacket', 0.524), ('Aviator jacket', 0.478), ('Military jacket', 0.461), ('MA-1', 0.377)]"
128,Hooded,1649,hooded style,"[('Poncho', 0.638), ('Cloak', 0.621), ('Cape', 0.587), ('Cowl neck', 0.548)]"
129,Hot Pants,1641,hot pants style,"[('Hotpants', 0.812), ('Booty Shorts', 0.552), ('Short Shorts', 0.414), ('Daisy Dukes', 0.414)]"
130,Hair Clips,1616,hair clips style,"[('Hair grips fashion', 0.719), ('Hair accessories look', 0.71), ('Hair slides trend', 0.681), ('Hair barrettes style', 0.676)]"
131,Ballerinas,1584,ballerinas style,"[('Balletic', 0.671), ('Tutu', 0.457), ('Pointe', 0.452), ('Pirouette', 0.442)]"
132,Juttis,1575,juttis style,[]
133,Basics & Blousons,1547,basics blousons style,[]
134,"Classic Belt, Classic Belts",1541,classic belt style,"[('Classic Belt Cut', 0.728), ('Iconic Belt Style', 0.681), ('Traditional Belt Look', 0.679), ('Timeless Belt Design', 0.593)]"
135,Strands & Layered,1532,strands layered style,"[('Plaited Look', 0.768), ('Intertwined Design', 0.723), ('Weaved Pattern', 0.653), ('Braided Style', 0.636)]"
136,"Chains, Chain",1455,chains style,[]
137,Lounge Pants & Top Sets,1429,lounge pants top sets style,"[('Loungewear Sets', 0.654), ('Comfort Clothing', 0.484)]"
138,Knitted Top & Pyjama,1426,knitted top pyjama style,"[('Crocheted sleepwear', 0.587), ('Interlocked bedclothes', 0.527), ('Knitwear nightwear', 0.455), ('Woven loungewear', 0.443)]"
139,V,1423,v style,"[('V-line', 0.765), ('V-cut', 0.733), ('V-hem', 0.684), ('V-neck', 0.61)]"
140,Outdoor,1422,outdoor style,[]
141,"Shrug, Shrugs",1413,shrugs style,[]
142,Front Open,1412,front open style,"[('Front-slit style', 0.812), ('Open-front design', 0.707), ('Unfastened look', 0.695), ('Unbuttoned look', 0.652)]"
143,Everyday,1393,everyday style,"[('Off-Duty Look', 0.656), ('Casual Wear', 0.53), ('Ready-to-Wear', 0.464), ('Streetwear', 0.454)]"
144,Lounge Pants & T-shirt Sets,1378,lounge pants t shirt sets style,"[('Loungewear Ensemble', 0.577), (‘Casual Wear Combination', 0.47)]"
145,Skater,1366,skater style,"[('Skateboarder aesthetic', 0.572), ('Roller-skater look', 0.497), ('Streetwear', 0.382), ('Urban chic', 0.321)]"
146,Kurta Dhoti Sets,1327,kurta dhoti sets style,"[('Kurta Dhoti Ensembles', 0.617), ('Kurta Dhoti Suits', 0.603), ('Kurta Dhoti Outfits', 0.523), ('Kurta Pyjama Combos', 0.329)]"
147,Lip Stick,1311,lip stick style,"[('Lip Stain', 0.87), ('Lip Paint', 0.753), ('Lip Color', 0.722)]"
148,Pumps,1311,pumps style,"[('Heels', 0.468), ('Stilettos', 0.346)]"
149,Comforters,1311,comforters style,"[('Blankets ', 0.645), ('Bedspreads ', 0.634), ('Coverlets ', 0.619), ('Quilts ', 0.545)]"
150,Scarves,1280,scarves style,"[('Wraps', 0.504), ('Scarf-Tying', 0.478), ('Neckwear', 0.467)]"
151,Chemise & Babydolls,1247,chemise babydolls style,[]
152,"Cuff & Wrap, Cuffs & Wraps",1245,cuffs wraps style,[]
153,Lighting,1240,lighting style,"[('Illumination Design', 0.713), ('Lighting Look', 0.704), ('Illumination Trend', 0.691), ('Lighting Mode', 0.662)]"
154,Mang Tikkas,1238,mang tikkas style,"[('Mang Tikka-Motif', 0.777), ('Mang Tikka-Influenced', 0.777), ('Mang Tikka-Themed', 0.76), ('Mang Tikka-Inspired', 0.753)]"
155,Shorts & Top Sets,1234,shorts top sets style,"[('Shorts and Tops Combos ', 0.806), ('Short and Top Coordinates ', 0.667), ('Short and Top Ensembles ', 0.635), ('Short and Top Outfits ', 0.629)]"
156,Shawls,1231,shawls style,"[('Wraps', 0.559)]"
157,Kitten Heels,1227,kitten heels style,[]
158,"Blazers, Blazer",1190,blazers style,"[('Suit', 0.57), ('Jacket', 0.538), ('Outerwear', 0.515), ('Coat', 0.499)]"
159,Rectangular,1184,rectangular style,[]
160,Pants & T-shirt Sets,1176,pants t shirt sets style,"[('Trouser and Tee Combos', 0.618)]"
161,Crossbody,1153,crossbody style,"[(‘Messenger bag', 0.482)]"
162,"Wayfarers, Wayfarer",1146,wayfarers style,"[('Pilgrims look', 0.635), ('Vagabonds look', 0.628), ('Trekkers look', 0.557), ('Rovers look', 0.555)]"
163,Shirt Kurtas,1133,shirt kurtas style,[]
164,Blazers & Peacoats,1117,blazers peacoats style,"[('Blazers and Peacoats Design', 0.776), ('Blazers and Peacoats Look', 0.775), ('Blazers and Peacoats Fashion', 0.775), ('Blazers and Peacoats Trend', 0.773)]"
165,Diyas & Lights,1115,diyas lights style,"[('Illuminated Apparel', 0.561), ('Glowing Garments', 0.486), ('Radiant Outfits', 0.469), ('Bright Clothing', 0.403)]"
166,Cufflinks,1101,cufflinks style,"[('Sleeve Clasps', 0.649), ('Collar Clips', 0.602), ('French Cuffs', 0.56), ('Link Buttons', 0.523)]"
167,Candles & Holders,1099,candles holders style,"[('Candle stands', 0.712)]"
168,Walking,1099,walking style,"[('Marching', 0.586), ('Sashaying', 0.488), ('Strutting', 0.488), ('Catwalking', 0.424)]"
169,"Armlet & Anklet, Armlets & Anklets",1094,armlets anklets style,[]
170,Wide,1091,wide style,"[('Loose fit', 0.69), ('Oversized', 0.673), ('Broad cut', 0.638)]"
171,Derby,1085,derby style,"[('Trackside fashion', 0.559), ('Jockey look', 0.553), ('Race-day attire', 0.413), ('Equestrian chic', 0.362)]"
172,Sets,1083,sets style,"[('Defines style', 0.714), ('Dictates look', 0.668), ('Establishes fashion', 0.522), ('Creates trends', 0.522)]"
173,Pocket Squares,1075,pocket squares style,"[('Pocket Accents', 0.732), ('Pocket Scarves', 0.686), ('Pocket Hankies', 0.667), ('Handkerchiefs', 0.448)]"
174,Knit Pants & Track Pants,1053,knit pants track pants style,"[('Sweatpants', 0.578)]"
175,"Wrap, Wraps",1050,wraps style,"[('Drape Style', 0.72), ('Envelope Style', 0.645), ('Swathe Style', 0.627), ('Cloak Style', 0.616)]"
176,Religious Idols,1041,religious idols style,"[('Sacramental Clothing', 0.525), ('Ecclesiastical Garb', 0.506), ('Devotional Apparel', 0.476), ('Spiritual Attire', 0.448)]"
177,Storage Jars & Canisters,1034,storage jars canisters style,"[('Containers ', 0.661), ('Pots ', 0.547), ('Vessels ', 0.544), ('Holders ', 0.507)]"
178,Half-and-Half,1025,half and half style,"[('Mixed Look', 0.713), ('Blended Look', 0.667), ('Combination Look', 0.647), ('Fusion Look', 0.49)]"
179,Cat-eye,1020,cat eye style,"[('Cat-Inspired Makeup', 0.812), ('Kitty Cat Look', 0.749), ('Feline Flick', 0.447), ('Winged Liner', 0.374)]"
180,Cushions,1020,cushions style,[]
181,Trays & Platters,1017,trays platters style,"[('Serving Dishes', 0.612)]"
182,Hair Ties,1007,hair ties style,"[(‘Hair bands', 0.736), ('Hair accessories', 0.709), ('Hair elastics', 0.661)]"
183,Placemats,1003,placemats style,"[('Doilies ', 0.561), ('Mats ', 0.513), ('Runners ', 0.4), ('Tablecloths ', 0.369)]"
184,Nail Polish,1002,nail polish style,"[('Manicure', 0.632), ('Varnish', 0.588), ('Lacquer', 0.583), ('Enamel', 0.507)]"
185,Playsuits,983,playsuits style,"[('Romper ', 0.685), ('Onesie ', 0.647), ('Boilersuit ', 0.498), ('Jumpsuits ', 0.421)]"
186,Towel Sets,975,towel sets style,"[('Towel designs', 0.836), ('Towel collections', 0.814), ('Towel patterns', 0.807), ('Towel ensembles', 0.786)]"
187,Platforms,971,platforms style,"[('Stages', 0.612), ('Runways', 0.538), ('Podiums', 0.506), ('Catwalks', 0.328)]"
188,Performance,969,performance style,"[('Garb', 0.629), ('Mode', 0.588), ('Look', 0.581), ('Attire', 0.563)]"
189,Mugs & Mason Jars,958,mugs mason jars style,"[('Jugs', 0.607), ('Flasks', 0.589), ('Carafes', 0.506), ('Crocks', 0.478)]"
190,Photo Frames,950,photo frames style,"[('Snapshot frames style', 0.729), ('Photograph frames trend', 0.711), ('Image frames look', 0.686), ('Picture holders fashion', 0.653)]"
191,"Necklaces, Necklace",949,necklace style,[]
192,Nightshirts,941,nightshirts style,"[(‘Nightwear', 0.669), ('Sleepwear', 0.61), ('Loungewear', 0.429)]"
193,Flat shoes,934,flat shoes style,"[('Slip-Ons', 0.69), ('Loafers', 0.625), ('Oxfords', 0.493), ('Ballet Flats', 0.451)]"
194,Dohars,924,dohars style,"[('Coverlets', 0.515), ('Blankets', 0.471), ('Bedspreads', 0.421), ('Quilts', 0.36)]"
195,Puffer,920,puffer style,"[('Puffed-up look', 0.794), ('Bloated fashion', 0.7), ('Swelled-up style', 0.592), ('Inflated silhouette', 0.591)]"
196,Bathroom Accessories Sets,907,bathroom accessories sets style,"[('Restroom Accoutrements Sets', 0.766), ('Toilet Gear Ensembles', 0.721), ('Lavatory Fashions', 0.661), ('Lavatory Apparel Collections', 0.575)]"
197,Other Kitchen Tools,907,other kitchen tools style,"[('Kitchenware fashion', 0.547), ('Culinary couture', 0.47), ('Cookery chic', 0.464), ('Gourmet glamour', 0.368)]"
198,Mats,900,mats style,"[('Mats design', 0.737), ('Mats trend', 0.723), ('Mats fashion', 0.709), ('Mats look', 0.7)]"
199,Table Runners,898,table runners style,"[('Table Scarves', 0.627), ('Table Toppers', 0.535), ('Table Skirts', 0.488), ('Table Cloths', 0.478)]"
200,"Waistcoat, Waistcoats",896,waistcoats style,"[('Waistcoat Look', 0.807), ('Waistcoat Cut', 0.767), ('Vest Style', 0.617), ('Vest Design', 0.607)]"
201,Sweater Dresses,893,sweater dresses style,"[('Knitwear dresses ', 0.752), ('Pullover dresses ', 0.736), ('Jumper dresses ', 0.72), ('Cardigan dresses ', 0.688)]"
202,"Coins, Coin",887,coins style,"[('Coinage Fashion', 0.794), ('Monetary Mode', 0.633), ('Moneyed Look', 0.577), ('Currency Clothing', 0.576)]"
203,"Blousons, Blouson",877,blousons style,[]
204,Classic Chain,872,classic chain style,"[('Classic Chain Pattern', 0.763), ('Iconic Chain Style', 0.688), ('Traditional Link Design', 0.684), ('Timeless Link Look', 0.535)]"
205,"Arts, Film & Photography",868,arts film photography style,"[('hion Filmography, Visual Artistry, Aesthetic, Design, Mode, Costume, Runway, Couture, Lookbook, Streetwear.', 0.423)]"
206,Pant-Suit Sets,862,pant suit sets style,"[('Coordinated separates ', 0.552), ('Trouser suit ensembles ', 0.523), ('Power dressing ', 0.519), ('Jumpsuit outfits ', 0.434)]"
207,Candle,860,candle style,"[('Flickering Fashion', 0.714), ('Candlelit Design', 0.694), ('Glowy Glamour', 0.556), ('Illuminated Look', 0.533)]"
208,Lifestyle,853,lifestyle style,"[('Trend', 0.632), ('Mode', 0.525), ('Look', 0.484), ('Fashion Sense', 0.424)]"
209,Culottes,849,culottes style,"[('Divided Skirt', 0.639), ('Split Skirt', 0.591), ('Gaucho Style', 0.506)]"
210,Zip-Around,848,zip around style,"[('Dash about fashion', 0.682), ('Rush fashion', 0.668), ('Haste fashion', 0.639), ('Speed up fashion', 0.518)]"
