,attributevalue,count,normalized_attributevalue,synonyms
20,Cartoon,8613,cartoon pattern,"[('Motifs', 0.577), ('Patterns', 0.576), ('Designs', 0.574), ('Prints', 0.555)]"
21,Polka-dot,8465,polka dot pattern,"[('Dot Print', 0.614), ('Spot Print', 0.581), ('Dotted Motif', 0.56)]"
22,Block Print,7835,block print pattern,"[('Intaglio Print', 0.63), ('Stamp Print', 0.596), ('Woodblock Design', 0.54), ('Relief Print', 0.481)]"
23,Dyed/Washed,7753,dyed washed pattern,"[('Pigmented rinsed design', 0.838), ('Colored laundered motif', 0.758), ('Hued sudsed layout', 0.712), ('Tinted cleansed pattern', 0.683)]"
24,Self-design,6877,self design pattern,"[('Self-Created Look', 0.777), ('Personalized Style', 0.61), ('Customized Outfit', 0.572), ('Tailored Look', 0.474)]"
25,Paisley,6791,paisley pattern,"[('Swirl Print', 0.642), ('Teardrop Print', 0.624)]"
26,Animal,5960,animal pattern,"[('Animal Print', 0.649), ('Fur Motif', 0.527), ('Skin Design', 0.497), ('Reptile Skin', 0.485)]"
27,Quilted,5745,quilted pattern,"[(‘Tufted Motif', 0.671), ('Padded Design', 0.549)]"
28,Tie & Dye,5250,tie dye pattern,"[('Tie-Dyed Design', 0.836), ('Marbled Print', 0.448), ('Colorful Swirls', 0.397), ('Rainbow Spirals', 0.365)]"
29,Art Deco,3621,art deco pattern,"[('Cubist Print', 0.577), ('Zigzag Motif', 0.451), ('Streamlined Style', 0.381)]"
30,Ribbed,3444,ribbed pattern,"[('Corrugated Look', 0.682), ('Waffled Texture', 0.672), ('Corded Design', 0.651), ('Channeled Appearance', 0.556)]"
31,Camouflage,3280,camouflage pattern,"[('Disguise Print', 0.783), ('Concealment Design', 0.779), ('Blended Pattern', 0.702), ('Mottled Motif', 0.69)]"
32,"Chevrons, Chevron",3235,chevrons pattern,"[('V-shaped pattern', 0.657), ('Herringbone pattern', 0.591), ('Arrowhead pattern', 0.566), ('Zigzag pattern', 0.53)]"
33,Reptilian,3224,reptilian pattern,"[('Crocodilian Design', 0.684), ('Scaly Design', 0.643), ('Serpentine Motif', 0.567), ('Lizard-Like Print', 0.519)]"
34,Tropical,2463,tropical pattern,"[('Tropical motif', 0.77), ('Exotic design', 0.623), ('Floral motif', 0.417), ('Vibrant print', 0.301)]"
35,Superhero,2116,superhero pattern,"[('Superhero motif', 0.805), ('Superhero design', 0.789), ('Superhero print', 0.785), ('Superhero theme', 0.784)]"
36,Ikat,1337,ikat pattern,"[('Ikat Motif', 0.783), ('Ikat Design', 0.729), ('Ikat Print', 0.718), ('Ikat Weave', 0.691)]"
37,Decorative/Art Deco,1084,decorative art deco pattern,"[('Ornamental Art Deco Design', 0.855), ('Embellished Art Deco Motif', 0.849), ('Adorned Art Deco Print', 0.812), ('Elaborate Art Deco Style', 0.767)]"
38,"Metallic&Glitter, Metallic & Glitter",963,metallic glitter pattern,"[('Metallic sequin design', 0.729), ('Glittery rhinestone pattern', 0.71), ('Shiny beaded motif', 0.615), ('Sparkly studded motif', 0.512)]"
39,Ombre-dyed,898,ombre dyed pattern,"[('Gradient-dyed design', 0.797), ('Color-blended pattern', 0.749), ('Shaded-hue motif', 0.658), ('Shadow-tinted style', 0.598)]"
40,Numeric,889,numeric pattern,"[('Numerical Motif', 0.715), ('Arithmetical Arrangement', 0.599), ('Quantitative Design', 0.564), ('Mathematical Model', 0.552)]"
41,Aztec,721,aztec pattern,"[('Ancient Mexican pattern', 0.717), ('Mesoamerican motif', 0.679), ('Tribal print', 0.626), ('Pre-Columbian design', 0.584)]"
42,Houndstooth,344,houndstooth pattern,"[('Dogtooth pattern', 0.722), ('Broken check pattern', 0.528), ('Checkerboard pattern', 0.371), ('Chessboard pattern', 0.263)]"
43,Stars,296,stars pattern,"[('Celestial Motif', 0.697), ('Constellation Design', 0.688), ('Astro Design', 0.631), ('Stellar Print', 0.388)]"
44,Speckle,284,speckle pattern,"[('Spotted Motif', 0.663), ('Flecked Fabric', 0.659), ('Dappled Design', 0.592), ('Polka Dot Print', 0.567)]"
45,Herringbone,224,herringbone pattern,"[('Broken twill pattern', 0.672), ('Chevron pattern', 0.585), ('V-shaped pattern', 0.544), ('Zigzag pattern', 0.448)]"
46,Kitsch,217,kitsch pattern,"[('Tacky Design', 0.805), ('Gaudy Motif', 0.784), ('Glitzy Pattern', 0.558), ('Flashy Print', 0.503)]"
47,"Speckle&Splatter, Speckle & Splatter",195,speckle splatter pattern,"[('Mottle', 0.723), ('Spatter', 0.719), ('Fleck', 0.593), ('Dapple', 0.575)]"
48,Tribal,169,tribal pattern,"[('Tribal motif', 0.785), ('Ethnic motif', 0.684), ('Indigenous design', 0.592), ('Cultural print', 0.572)]"
49,Stylised,144,stylised pattern,"[('Decorative Motif', 0.632), ('Artistic Print', 0.604), ('Ornamental Design', 0.591), ('Aesthetic Design', 0.563)]"
50,"Lace & Crochet, Lace&Crochet",131,lace crochet pattern,"[('Lace Crochet Motif', 0.836), ('Lace Crochet Design', 0.833), ('Lace Crochet Stitch', 0.816), ('Lace Crochet Weave', 0.806)]"
51,Space-dyed,110,space dyed pattern,"[('Color Blocked', 0.631), ('Ombre', 0.57), ('Tie-Dye', 0.553), ('Marbled', 0.457)]"
52,"Printed, Print",86,printed pattern,"[('Printed Designing', 0.803), ('Printed Motif', 0.794), ('Printed Design', 0.791), ('Printed Layout', 0.773)]"
53,Embellished & Embroidery,79,embellished embroidery pattern,"[('Elaborate Embroidery Design', 0.703), ('Intricate Stitching Motif', 0.695), ('Decorative Stitching Pattern', 0.693), ('Ornate Needlework Design', 0.663)]"
54,Baroque,35,baroque pattern,"[('Elaborate Embellishment', 0.56), ('Ornate Design', 0.536), ('Intricate Motif', 0.488), ('Lavish Print', 0.481)]"
55,Holographic,27,holographic pattern,"[('Holographic Motif', 0.763), ('Holographic Embellishment', 0.727), ('Holographic Design', 0.715), ('Hologram Print', 0.628)]"
56,Applique,27,applique pattern,"[('Applique Motif', 0.774), ('Patchwork Design', 0.631), ('Beadwork Design', 0.62), ('Embroidery Design', 0.486)]"
57,Nailhead,26,nailhead pattern,"[('Studded Design', 0.551), ('Dot Motif', 0.519), ('Button Embellishment', 0.461), ('Spike Pattern', 0.445)]"
58,Graphic Print,25,graphic print pattern,"[('Visual Design', 0.625), ('Artistic Layout', 0.581)]"
59,Ruffles,15,ruffles pattern,"[('Crimps', 0.734), ('Pleats', 0.717), ('Gathers', 0.646), ('Flounces', 0.642)]"
60,Movies & Music,4,movies music pattern,"[('Movies Garment', 0.703), ('Cinema Style', 0.59), ('Films Fashion Design', 0.453), ('Flicks Outfit', 0.424)]"
61,Patch-work,4,patch work pattern,"[('Mosaic', 0.552), ('Quiltwork', 0.549)]"
62,Tortoiseshell,4,tortoiseshell pattern,"[('Tortoiseshell Print', 0.802), ('Cowrie Design', 0.631), ('Shell Motif', 0.579), ('Cowry Print', 0.567)]"
63,"colorblock, Colorblock, Color-Block",4,colorblock pattern,"[('Colour-blocking', 0.82), ('Colour-clashing', 0.744), ('Contrasting hues', 0.72), ('Colour-splicing', 0.708)]"
64,Embroidered,4,embroidered pattern,"[('Intricate design', 0.587), ('Elaborate pattern', 0.574), ('Ornate motif', 0.571)]"
65,Nautical,3,nautical pattern,"[('Maritime motif', 0.669), ('Oceanic print', 0.624), ('Coastal pattern', 0.585), ('Marine design', 0.535)]"
66,Patterned,3,patterned pattern,[]
67,Sports,2,sports pattern,"[('Sporting design', 0.646), ('Athletic motif', 0.514), ('Fitness pattern', 0.479), ('Exercise motif', 0.478)]"
68,Monochrome,2,monochrome pattern,"[('Single-Color Design', 0.684), ('One-Tone Motif', 0.674), ('Unicolor Print', 0.627)]"
69,Patterned knit,1,patterned knit pattern,"[('Textured stitch', 0.667), ('Intricate weave', 0.549)]"
70,Printed & Solids,1,printed solids pattern,"[('Printed Designs', 0.753), ('Printed Motifs', 0.745), ('Printed Textiles', 0.689), ('Printed Fabrics', 0.676)]"
71,Self,1,self pattern,"[('Self-Conceptualizing', 0.745), ('Self-Styling', 0.723), ('Self-Design', 0.716), ('Self-Fashioning', 0.687)]"
72,Typography,1,typography pattern,"[('Prints', 0.572), ('Fabric Patterns', 0.497), ('Textile Design', 0.46), ('Textile Art', 0.454)]"
73,Patterned weave,1,patterned weave pattern,"[('Textured Fabric', 0.608), ('Intricate Design', 0.577), ('Brocade', 0.529)]"
74,blue,1,blue pattern,"[('Indigo Print', 0.681), ('Cobalt Motif', 0.638), ('Azure Design', 0.61), ('Navy Design', 0.481)]"
75,black,1,black pattern,"[('Dark motif', 0.741), ('Ebony design', 0.706), ('Charcoal print', 0.531), ('Jet motif', 0.352)]"
