,attributevalue,count,normalized_attributevalue,synonyms
20,Organic Cotton,4912,organic cotton fabric,"[('Biodegradable Cotton Weave', 0.683), ('Natural Cotton Cloth', 0.678), ('Sustainable Cotton Textile', 0.627), ('Eco-Friendly Cotton Material', 0.547)]"
21,Chanderi,4784,chanderi fabric,"[('Voile', 0.629)]"
22,Modal,4548,modal fabric,"[('Cloth', 0.739), ('Textile', 0.728), ('Garment', 0.714), ('Material', 0.659)]"
23,Blended,3738,blended fabric,"[('Merged fabric', 0.847), ('Mixed fabric', 0.825), ('Combined fabric', 0.747), ('Interwoven fabric', 0.665)]"
24,Organza,3440,organza fabric,"[('Gossamer', 0.63), ('Voile', 0.602), ('Tulle', 0.601)]"
25,Velvet,2101,velvet fabric,"[('Suede Fabric', 0.616), ('Plush Fabric', 0.529)]"
26,Raw Silk,1999,raw silk fabric,"[('Unprocessed Silk Fabric', 0.758), ('Unbleached Silk Fabric', 0.749), ('Unrefined Silk Fabric', 0.718), ('Natural Silk Fabric', 0.554)]"
27,Cambric,1875,cambric fabric,"[('Voile', 0.656), ('Batiste', 0.653), ('Lawn', 0.481)]"
28,Synthetic,1583,synthetic fabric,"[('Artificial fabric', 0.776), ('Imitation fabric', 0.679), ('Manufactured fabric', 0.64), ('Man-made fabric', 0.525)]"
29,Linen Blend,1578,linen blend fabric,"[('Linen-Viscose Blend', 0.824), ('Cotton-Linen Mix', 0.796), ('Linen-Cotton Blend', 0.776), ('Linen-Polyester Blend', 0.725)]"
30,Lace,1553,lace fabric,"[('Tulle', 0.618), ('Chantilly', 0.597), ('Guipure', 0.581)]"
31,Dupion,1498,dupion fabric,"[('Raw Silk', 0.701), ('Crinkle Silk', 0.693), ('Taffeta', 0.683), ('Shantung', 0.505)]"
32,Kanjeevaram,1490,kanjeevaram fabric,"[('Kanchi Pattu', 0.714), ('Kanjivaram Saree', 0.681), ('Kanchipuram Silk', 0.67), ('Kanchi Silk', 0.669)]"
33,Muslin,1037,muslin fabric,"[('Gauze', 0.705), ('Voile', 0.606), ('Cheesecloth', 0.501), ('Lawn', 0.48)]"
34,Jamdani,987,jamdani fabric,"[('Voile', 0.63)]"
35,Mysore Silk,935,mysore silk fabric,"[('Mysore Silk Textile', 0.84), ('Mysore Silk Cloth', 0.837), ('Mysore Silk Material', 0.833), ('Mysore Silk Weave', 0.831)]"
36,Slub,926,slub fabric,"[('Tweed fabric', 0.727), ('Nubby fabric', 0.716), ('Coarse fabric', 0.679), ('Textured fabric', 0.635)]"
37,Lyocell,898,lyocell fabric,"[('Tencel Fabric', 0.692)]"
38,Handloom,893,handloom fabric,"[('Handcrafted textile', 0.669), ('Handwoven cloth', 0.668), ('Traditional cloth', 0.605), ('Hand-spun yarn', 0.564)]"
39,Twill,866,twill fabric,"[('Gabardine fabric', 0.756), ('Serge fabric', 0.71), ('Herringbone fabric', 0.694), ('Drill fabric', 0.582)]"
40,Terry,866,terry fabric,"[('Terrycloth', 0.794), (‘Towelling', 0.521)]"
41,Brocade,799,brocade fabric,"[('Brocatelle fabric', 0.81), ('Jacquard fabric', 0.738), ('Tapestry fabric', 0.69), ('Damask fabric', 0.642)]"
42,Bamboo,720,bamboo fabric,"[('Bamboo Textile', 0.825), ('Bamboo Weave', 0.811), ('Bamboo Cloth', 0.81), ('Bamboo Material', 0.769)]"
43,Dobby,701,dobby fabric,"[('Voile', 0.638), (‘Batiste', 0.581)]"
44,Khadi,621,khadi fabric,"[('Hand-spun cloth', 0.589), ('Homespun cloth', 0.587), ('Cotton yarn', 0.582), ('Handwoven cloth', 0.545)]"
45,Tencel,604,tencel fabric,"[('Lyocell', 0.676)]"
46,Tussar,591,tussar fabric,"[('Tussah Silk', 0.691), ('Ahimsa Silk', 0.662), ('Khadi Silk', 0.648), ('Wild Silk', 0.619)]"
47,Liva,581,liva fabric,[]
48,Poplin,493,poplin fabric,"[('Cotton sateen', 0.626), ('Cotton muslin', 0.609), (‘Cotton twill', 0.59)]"
49,Taffeta,441,taffeta fabric,"[('Organza', 0.593)]"
50,PU,430,pu fabric,[]
51,Flex,385,flex fabric,"[('Elastic Cloth', 0.692), ('Stretchy Material', 0.659), ('Spandex', 0.554), ('Lycra', 0.536)]"
52,Leather,367,leather fabric,"[('Skin', 0.575), ('Pelt', 0.547), ('Hideout', 0.515), ('Hide', 0.493)]"
53,Paithani,324,paithani fabric,"[('Paithani Silk', 0.704), ('Aurangabad Cloth', 0.697)]"
54,Corduroy,303,corduroy fabric,[]
55,Gadwal,270,gadwal fabric,"[('Chanderi', 0.708), (‘Ikat’, 0.655), ('Kota Doria', 0.651)]"
56,Polyamide,265,polyamide fabric,"[('Polyester fabric', 0.696)]"
57,LambsWool,245,lambswool fabric,"[('Angora fabric', 0.567)]"
58,Merino,239,merino fabric,"[('Merino Yarn', 0.715), ('Merino Wool', 0.702), ('Merino Jersey', 0.701), ('Merino Knit', 0.595)]"
59,Ikat,173,ikat fabric,"[('Ikat-Patterned Fabric', 0.783), ('Warp-Printed Fabric', 0.72), ('Warp-Dyed Fabric', 0.672), ('Tie-Dye Fabric', 0.594)]"
60,Microfibre,171,microfibre fabric,"[('Microfiber Cloth', 0.84), ('Synthetic Textile', 0.67), (‘Ultrafine Cloth', 0.542)]"
61,Velour,160,velour fabric,"[('Velvet', 0.561), ('Plush', 0.471)]"
62,Voile,155,voile fabric,"[('Lace', 0.692), (‘Sheer fabric', 0.57)]"
63,Chenille,146,chenille fabric,"[('Fuzzy', 0.611), ('Velvet', 0.561), ('Plush', 0.439), ('Fluffy', 0.419)]"
64,Cashmere,132,cashmere fabric,"[('Cashmere Blend', 0.769), ('Cashmere Wool', 0.765), ('Cashmere Yarn', 0.752), ('Cashmere Knit', 0.75)]"
65,Lurex,128,lurex fabric,"[('Glimmer fabric', 0.7), ('Shimmer fabric', 0.678), ('Glitter fabric', 0.541), ('Metallic fabric', 0.522)]"
66,Maheshwari,104,maheshwari fabric,"[('Maheshwari Muslin', 0.828), ('Maheshwari Silk', 0.755), ('Maheshwari Cotton', 0.742), ('Maheshwari Brocade', 0.704)]"
67,Pashmina,103,pashmina fabric,"[('Cashmere wool', 0.565), ('Cashmere yarn', 0.556), ('Cashmere cloth', 0.55), ('Cashmere material', 0.544)]"
68,Shantoon,100,shantoon fabric,"[('Crepe', 0.736)]"
69,Chambray,91,chambray fabric,"[('Jean cloth', 0.659), ('Cotton twill', 0.572), ('Denim cloth', 0.524), ('Blue-jean material', 0.427)]"
70,Flannel,84,flannel fabric,"[('Fleece fabric', 0.8), ('Tartan fabric', 0.779), ('Plaid fabric', 0.778), ('Brushed cotton', 0.6)]"
71,Mangalgiri,69,mangalgiri fabric,"[('Mangalgiri Cloth', 0.843), ('Mangalgiri Weave', 0.828), ('Mangalgiri Textile', 0.812), ('Mangalgiri Material', 0.806)]"
72,Patola,61,patola fabric,"[('Ikat fabric', 0.741), ('Bandhani fabric', 0.727), ('Kalamkari fabric', 0.723), ('Tie-dye fabric', 0.57)]"
73,Elastane,39,elastane fabric,"[('Lycra fabric', 0.688), ('Spandex fabric', 0.653), ('Stretchy fabric', 0.636), ('Stretch fabric', 0.623)]"
74,Bagru,37,bagru fabric,"[('Bagru Cloth', 0.87), ('Bagru Textile', 0.861), ('Bagru Material', 0.836), ('Bagru Print', 0.824)]"
75,Tant,36,tant fabric,"[('Coarse Textile', 0.636), ('Rugged Weave', 0.571), ('Heavy Cloth', 0.466), ('Thick Material', 0.425)]"
76,Dharmavaram,30,dharmavaram fabric,"[('Dharmavaram Weave', 0.796), ('Dharmavaram Material', 0.792), ('Dharmavaram Cloth', 0.777), ('Dharmavaram Textile', 0.741)]"
77,Canvas,30,canvas fabric,"[('Sailcloth', 0.599), ('Burlap', 0.585), ('Duck cloth', 0.528)]"
78,Jamevar,25,jamevar fabric,"[('Jamdani', 0.738), ('Chikankari', 0.651), ('Kalamkari', 0.645), ('Ikat', 0.634)]"
79,Bandhej,23,bandhej fabric,"[('Bandhani fabric', 0.863), ('Kalamkari fabric', 0.765), ('Shibori fabric', 0.763), ('Tie-dye fabric', 0.663)]"
80,Ramie,22,ramie fabric,"[('Hemp', 0.663), (‘Grasscloth’, 0.493), ('China Grass', 0.439)]"
81,Batik,20,batik fabric,"[('Hand-Dyed Cloth', 0.638), ('Block-Printed Material', 0.622), ('Tie-Dyed Textiles', 0.571), ('Wax-Printed Cloth', 0.507)]"
82,Kosa,19,kosa fabric,"[('Damask', 0.667), ('Jacquard', 0.635), ('Tapestry', 0.594), ('Brocade', 0.548)]"
83,Tanchoi,19,tanchoi fabric,"[('Brocatelle', 0.702), ('Jacquard', 0.653), ('Damask', 0.637), ('Brocade', 0.521)]"
84,Seersucker,17,seersucker fabric,"[('Puckered cloth', 0.703), ('Dimity', 0.653), ('Gingham', 0.607)]"
85,Phulkari,15,phulkari fabric,"[('Embroidered cloth', 0.634), ('Punjabi textile', 0.627), ('Floral fabric', 0.548), ('Needlework fabric', 0.522)]"
86,Narayanpet,12,narayanpet fabric,"[('Narayanpet Cloth', 0.782), ('Narayanpet Weave', 0.76), ('Narayanpet Material', 0.752), ('Narayanpet Textile', 0.734)]"
87,Baluchari,12,baluchari fabric,"[('Baluchari Cloth', 0.818), ('Baluchari Weave', 0.769), ('Baluchari Silk', 0.754), ('Baluchari Brocade', 0.729)]"
88,HerringBone,8,herringbone fabric,"[('Chevron fabric', 0.632), ('Tweed fabric', 0.63), ('Zigzag fabric', 0.506), ('Houndstooth fabric', 0.483)]"
89,Pochampally,7,pochampally fabric,"[('Pochampally Weave', 0.766), ('Telia Rumal', 0.711), ('Ikat', 0.63)]"
90,Venkatagiri,6,venkatagiri fabric,"[('Venkatagiri Cloth', 0.842), ('Venkatagiri Material', 0.811), ('Venkatagiri Weave', 0.805), ('Venkatagiri Textile', 0.788)]"
91,Kantha,4,kantha fabric,"[('Appliqué Cloth', 0.716), ('Embroidered Cloth', 0.623), ('Patchwork Cloth', 0.618), ('Quilted Cloth', 0.563)]"
92,Tabby,4,tabby fabric,"[('Striped cloth', 0.665), ('Plaid fabric', 0.644), ('Gingham', 0.604), ('Checked material', 0.531)]"
93,Tangail,3,tangail fabric,"[('Tangail Cloth', 0.815), ('Tangail Textile', 0.798), ('Tangail Material', 0.783), ('Tangail Weave', 0.769)]"
94,Cheesecloth,3,cheesecloth fabric,"[('Cheesecloth textile', 0.869), ('Cheesecloth gauze', 0.844), ('Cheesecloth material', 0.838), ('Cheesecloth weave', 0.83)]"
95,Mesh,3,mesh fabric,"[('Gauze', 0.67), ('Netting', 0.641), ('Lace', 0.602), ('Tulle', 0.54)]"
96,Munga,2,munga fabric,"[('Calico', 0.646), ('Muslin', 0.644), ('Cotton cloth', 0.602)]"
97,Mohair,2,mohair fabric,"[('Angora wool', 0.752), ('Angora fabric', 0.742), ('Angora yarn', 0.711), ('Cashgora', 0.535)]"
98,Houndstooth,2,houndstooth fabric,"[('Dogtooth fabric', 0.722), (""Hound's tooth fabric"", 0.693), (""Dog's tooth check fabric"", 0.545), ('Pied-de-poule fabric', 0.519)]"
99,Organdie,2,organdie fabric,"[('Voile', 0.52)]"
100,Excel,1,excel fabric,"[('Outshine cloth', 0.66), ('Superlative textile', 0.623), ('Splendid material', 0.477), ('Flawless fabric', 0.407)]"
